Word, Frequency
Query,1
objects,2
are,1
composable,1
meaning,1
that,7
you,1
can,3
return,3
a,12
query,11
from,3
method,6
Objects,1
represent,1
queries,1
don't,1
store,1
the,9
resulting,1
collection,1
but,1
rather,1
steps,1
to,1
produce,1
results,3
when,1
needed,1
The,1
advantage,1
of,3
returning,1
methods,1
is,3
they,1
be,2
further,1
composed,2
or,4
modified,2
Therefore,1
any,1
value,2
out,2
parameter,2
returns,4
must,1
also,1
have,1
type,2
If,1
materializes,1
into,1
concrete,1
List<T>,1
Array,1
it,1
instead,1
itself,1
A,1
variable,1
returned,2
still,1
In,2
following,1
example,1
first,1
QueryMethod1,1
as,2
and,1
second,1
QueryMethod2,1
an,1
(returnQ,1
in,1
example),1
both,1
cases,1
it's,1
not,1
